,bin,lat,lon,cluster,ОКЭД,Наименование основного вида деятельности,Наименование КРП,Юридическая форма,mean,count,sum
5661,750201400857,76.969217,52.298026,892159025cfffff,47191.0,"Прочая розничная торговля в неспециализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м ",Малые предприятия (<= 5),ИП,1668.2608695652175,23.0,38370.0
5662,750213401137,76.967285,52.279671,8921590208bffff,47751.0,"Розничная торговля косметическими товарами и туалетными принадлежностями в специализированных магазинах,  являющихся торговыми объектами, с торговой площадью менее 2000 кв.м",Малые предприятия (<= 5),ИП,,,
5663,750217450395,76.956263,52.284729,89215902467ffff,46610.0,"Оптовая торговля сельскохозяйственной техникой, оборудованием,  деталями и принадлежностями к ним",Средние предприятия (101-150),ИП,1009200.0,1.0,1009200.0
5664,750222400178,76.967303,52.270265,89215902053ffff,47711.0,"Розничная торговля трикотажными и чулочно-носочными изделиями в специализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м",Малые предприятия (6 - 10),ИП,5142.028985507246,69.0,354800.0
5665,750312400414,76.968291,52.287302,89215902097ffff,47251.0,"Розничная торговля напитками в специализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м",Малые предприятия (<= 5),ИП,2563.3419689119173,386.0,989450.0
5666,750407300088,76.975119,52.279511,89215902017ffff,43390.0,Прочие отделочные работы,Малые предприятия (<= 5),ИП,,,
5667,750411400214,76.998771,52.240165,89215900413ffff,47111.0,"Розничная торговля преимущественно продуктами питания, напитками и табачными изделиями в неспециализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м ",Малые предприятия (<= 5),ИП,2306.285714285714,70.0,161440.0
5668,750419450363,76.964932,52.294826,892159025cbffff,96020.0,Предоставление услуг парикмахерскими и салонами красоты,Малые предприятия (<= 5),ИП,4625.0,4.0,18500.0
5669,750420402547,76.931981,52.293702,892159024d7ffff,47191.0,"Прочая розничная торговля в неспециализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м ",Малые предприятия (<= 5),ИП,8952.153846153846,65.0,581890.0
5670,750430300261,76.970887,52.298533,892159025cfffff,47111.0,"Розничная торговля преимущественно продуктами питания, напитками и табачными изделиями в неспециализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м ",Малые предприятия (<= 5),ИП,969.5196078431372,102.0,98891.0
5671,750505300962,76.963773,52.275285,892159020c3ffff,68201.0,Аренда и управление собственной недвижимостью,Малые предприятия (11-15),ИП,25571.82051282051,39.0,997301.0
5672,750519400122,76.964626,52.26779,8921590205bffff,68201.0,Аренда и управление собственной недвижимостью,Малые предприятия (6 - 10),ИП,69586.95652173914,23.0,1600500.0
5673,750520400188,76.958985,52.291499,89215902423ffff,47191.0,"Прочая розничная торговля в неспециализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м ",Малые предприятия (16-20),ИП,6280.721649484536,194.0,1218460.0
5674,750528402138,76.967303,52.270265,89215902053ffff,96020.0,Предоставление услуг парикмахерскими и салонами красоты,Малые предприятия (<= 5),ИП,1656.7567567567569,37.0,61300.0
5675,750530450496,76.931227,52.298186,8921590249bffff,47712.0,"Розничная торговля одеждой, кроме трикотажных и чулочно-носочных изделий, в специализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м",Малые предприятия (<= 5),ИП,313725.0,4.0,1254900.0
5676,750604401886,76.952652,52.296517,892159024abffff,53200.0,Прочая почтовая и курьерская деятельность,Малые предприятия (<= 5),ИП,7452.7191011235955,89.0,663292.0
5677,750628350274,76.996292,52.297294,8921590252bffff,45201.0,"Техническое обслуживание и ремонт автомобилей, за исключением произведенных станциями технического обслуживания, находящимися на придорожной полосе",Малые предприятия (<= 5),ИП,,,
5678,750702402004,76.97042,52.264373,8921590204bffff,47822.0,"Розничная торговля одеждой, обувью и текстильными изделиями на рынках",Малые предприятия (<= 5),ИП,24400.0,5.0,122000.0
5679,750721450474,76.960323,52.280652,8921590246fffff,47251.0,"Розничная торговля напитками в специализированных магазинах, являющихся торговыми объектами, с торговой площадью менее 2000 кв.м",Малые предприятия (<= 5),ИП,2585.7454545454543,55.0,142216.0
