,cluster,bin
679,89215390943ffff,1
680,89215390947ffff,1
681,89215390957ffff,2
682,8921539095bffff,3
683,89215390967ffff,1
684,8921539096bffff,5
685,89215390977ffff,3
686,8921539097bffff,4
687,892153909cfffff,1
688,892153909d3ffff,1
689,89215390a07ffff,2
690,89215390a0fffff,1
691,89215390a13ffff,1
692,89215390a17ffff,5
693,89215390a23ffff,3
694,89215390a27ffff,1
695,89215390a2fffff,1
696,89215390a33ffff,1
697,89215390a37ffff,1
698,89215390a87ffff,4
699,89215390a8bffff,1
700,89215390a8fffff,4
701,89215390a97ffff,1
702,89215390aa3ffff,2
703,89215390aabffff,2
704,89215390aafffff,1
705,89215390ab7ffff,6
706,89215390abbffff,3
707,89215390ac3ffff,2
708,89215390ad7ffff,5
709,89215390b03ffff,1
710,89215390b07ffff,2
711,89215390b0bffff,8
712,89215390b13ffff,1
713,89215390b17ffff,1
714,89215390b1bffff,5
715,89215390b23ffff,7
716,89215390b27ffff,2
717,89215390b2fffff,4
718,89215390b37ffff,7
719,89215390b3bffff,1
720,89215390b43ffff,9
721,89215390b47ffff,26
722,89215390b4bffff,2
723,89215390b4fffff,5
724,89215390b53ffff,1
725,89215390b57ffff,8
726,89215390b5bffff,2
727,89215390b63ffff,6
728,89215390b67ffff,1
729,89215390b6bffff,5
730,89215390b6fffff,13
731,89215390b73ffff,47
732,89215390b77ffff,4
733,89215390b7bffff,9
734,89215390b83ffff,6
735,89215390b87ffff,2
736,89215390b8bffff,1
737,89215390b8fffff,2
738,89215390b93ffff,1
739,89215390b97ffff,1
740,89215390ba7ffff,4
741,89215390babffff,1
742,89215390bafffff,6
743,89215390bbbffff,1
744,89215390bc7ffff,1
745,89215390bcbffff,1
746,89215390bcfffff,4
747,89215390bd3ffff,52
748,89215390bdbffff,3
749,89215390d4fffff,1
750,89215390d57ffff,1
751,89215390d63ffff,1
752,89215390e23ffff,1
753,89215390e27ffff,5
754,89215390e2bffff,1
755,89215390e2fffff,1
756,89215390e37ffff,2
757,89215390e3bffff,5
758,89215390e77ffff,2
759,8921539116bffff,1
760,8921539116fffff,1
761,89215391303ffff,2
762,89215391307ffff,5
763,8921539130bffff,1
764,89215391317ffff,1
765,8921539132bffff,1
766,89215391363ffff,1
767,89215391367ffff,2
768,8921539136bffff,1
769,89215391377ffff,4
770,892153913afffff,1
771,8921539185bffff,2
772,89215391927ffff,1
773,89215391b27ffff,1
774,89215391b2fffff,3
775,89215391e07ffff,2
776,89215391e0bffff,1
777,89215391e3bffff,1
778,89215391e5bffff,1
779,89215391ec7ffff,1
780,89215391ed3ffff,4
781,89215391edbffff,3
782,89215395043ffff,3
783,89215395047ffff,1
784,8921539504bffff,1
785,8921539506bffff,2
786,8921539506fffff,2
787,8921539507bffff,3
788,89215395083ffff,1
789,892153950cbffff,1
790,892153950dbffff,1
791,89215395203ffff,4
792,89215395207ffff,11
793,8921539520bffff,6
