,cluster,sum
598,8921538310fffff,0.0
599,89215383113ffff,3956490.0
600,89215383127ffff,681600.0
601,8921538312bffff,4818153.0
602,8921538312fffff,160271205.5
603,89215383137ffff,136490.0
604,8921538313bffff,1620541.0
605,89215383147ffff,9837109.0
606,8921538314bffff,6172438.0
607,8921538314fffff,609905.0
608,89215383153ffff,5438404.1
609,89215383163ffff,9619229.0
610,89215383167ffff,14234041.44
611,8921538316bffff,12194863.0
612,8921538316fffff,386692.0
613,89215383173ffff,40869653.0
614,89215383177ffff,4334349.640000001
615,8921538317bffff,12243034.0
616,89215383183ffff,16604281.0
617,89215383187ffff,2179588.0
618,892153831a3ffff,12504006.0
619,892153831a7ffff,56785605.0
620,892153831b7ffff,1874248.0
621,892153831bbffff,8680017.0
622,892153831cfffff,994847.0
623,892153832a7ffff,4618855.0
624,89215383307ffff,29238542.0
625,89215383327ffff,3368567.0
626,89215383333ffff,13330.0
627,89215383353ffff,308810369.0
628,89215383357ffff,4526088.0
629,8921538338fffff,3093675.0
630,892153833a3ffff,1552317454.3799999
631,892153833a7ffff,59838272.97000001
632,892153833abffff,98200.0
633,892153833b3ffff,2794183.199999999
634,892153833b7ffff,2448298.48
635,892153833cbffff,36101851.0
636,89215383523ffff,13000.0
637,8921538352fffff,0.0
638,89215383587ffff,10660.0
639,89215383593ffff,125626.0
640,89215383597ffff,609862.0
641,892153835b7ffff,57624863.510000005
642,8921538700bffff,14000.0
643,89215387057ffff,123795.0
644,89215387643ffff,258754.0
645,8921538764bffff,655848.0
646,8921538764fffff,8418194.0
647,89215387653ffff,418707128.47
648,8921538765bffff,4000.0
649,89215390803ffff,6715905.0
650,89215390807ffff,2145038.0
651,8921539080fffff,278000.0
652,89215390823ffff,699000.0
653,89215390827ffff,3208964.0
654,89215390833ffff,115676.0
655,89215390837ffff,63655626.0
656,8921539083bffff,2327300.0
657,89215390843ffff,3674367.0
658,89215390847ffff,5771559.0
659,8921539084bffff,0.0
660,8921539084fffff,68647319.0
661,89215390857ffff,13094.0
662,8921539085bffff,298939.0
663,89215390867ffff,472298.0
664,89215390873ffff,652000.0
665,89215390877ffff,1449330.0
666,892153908a7ffff,3963200.0
667,892153908abffff,3222346.0
668,892153908b3ffff,9805925.0
669,892153908b7ffff,36265908.0
670,892153908c3ffff,5738696.0
671,892153908cbffff,11452920.0
672,892153908cfffff,1811800.0
673,892153908dbffff,22425962.0
674,89215390907ffff,0.0
675,89215390917ffff,93591.0
676,8921539091bffff,309685.0
677,8921539092bffff,101773.0
678,8921539093bffff,468323.0
679,89215390943ffff,524919.0
680,89215390947ffff,14978246.0
681,89215390957ffff,2512200.0
682,8921539095bffff,1783125.0
683,89215390967ffff,200686366.0
684,8921539096bffff,6312500.0
685,89215390977ffff,2130268.0
686,8921539097bffff,4454100.0
687,892153909cfffff,2230000.0
688,892153909d3ffff,516320.0
689,89215390a07ffff,9361415.0
690,89215390a0fffff,2788936.0
691,89215390a13ffff,280885.0
692,89215390a17ffff,2745686.0
693,89215390a23ffff,725934.0
694,89215390a27ffff,507624.0
695,89215390a2fffff,1338165.0
696,89215390a33ffff,25398420.0
697,89215390a37ffff,23425.0
698,89215390a87ffff,3873035.5
699,89215390a8bffff,121204.0
700,89215390a8fffff,1633731.0
701,89215390a97ffff,59254.0
702,89215390aa3ffff,379735.0
703,89215390aabffff,116022.0
704,89215390aafffff,613176.0
705,89215390ab7ffff,25193365.0
706,89215390abbffff,624000.0
707,89215390ac3ffff,64565.0
708,89215390ad7ffff,1493376.0
709,89215390b03ffff,0.0
710,89215390b07ffff,173470.0
711,89215390b0bffff,3691554.0
712,89215390b13ffff,27061.0
713,89215390b17ffff,15100.0
714,89215390b1bffff,31060184.0
715,89215390b23ffff,2587046.0
716,89215390b27ffff,636670.0
717,89215390b2fffff,981251.0
718,89215390b37ffff,1169516.0
719,89215390b3bffff,184900.0
720,89215390b43ffff,6844543.300000004
721,89215390b47ffff,54416261.0
722,89215390b4bffff,463695.0
723,89215390b4fffff,1617308.0
724,89215390b53ffff,1606550.0
725,89215390b57ffff,9587597.0
726,89215390b5bffff,1197363.0
727,89215390b63ffff,1023415.0
728,89215390b67ffff,5797575.0
729,89215390b6bffff,11172975.0
730,89215390b6fffff,43377210.0
731,89215390b73ffff,33770046.0
732,89215390b77ffff,484700.0
733,89215390b7bffff,1028134.0
734,89215390b83ffff,1413771.0
735,89215390b87ffff,192305.0
736,89215390b8bffff,193000.0
737,89215390b8fffff,149200.0
738,89215390b93ffff,40250.0
739,89215390b97ffff,0.0
740,89215390ba7ffff,1393078.0
741,89215390babffff,1438125.0
742,89215390bafffff,53357450.0
743,89215390bbbffff,124885.0
744,89215390bc7ffff,506551.0
745,89215390bcbffff,1334200.0
746,89215390bcfffff,2412296.0
747,89215390bd3ffff,30887035.810000002
748,89215390bdbffff,482645.0
749,89215390d4fffff,12032857.0
750,89215390d57ffff,24000.0
751,89215390d63ffff,341060.0
752,89215390e23ffff,668969.0599999999
753,89215390e27ffff,1634080.24
754,89215390e2bffff,598785.0
755,89215390e2fffff,40000.0
756,89215390e37ffff,3965410.0
757,89215390e3bffff,2087000.0
758,89215390e77ffff,625500.0
759,8921539116bffff,0.0
760,8921539116fffff,877670.0
761,89215391303ffff,949045.0
762,89215391307ffff,5263788.0
763,8921539130bffff,0.0
764,89215391317ffff,60000.0
765,8921539132bffff,77273.0
766,89215391363ffff,70560.0
767,89215391367ffff,391465.0
768,8921539136bffff,5675.0
769,89215391377ffff,2034333.35
770,892153913afffff,2827952.0
771,8921539185bffff,427201.0
772,89215391927ffff,651000.0
773,89215391b27ffff,346880.0
774,89215391b2fffff,1444461.0
775,89215391e07ffff,749339.0
776,89215391e0bffff,455288.0
777,89215391e3bffff,1596324.0
778,89215391e5bffff,2483666.0
779,89215391ec7ffff,141302.0
780,89215391ed3ffff,5529308.96
781,89215391edbffff,178790.0
782,89215395043ffff,5155209.0
783,89215395047ffff,109083800.0
784,8921539504bffff,202000.0
785,8921539506bffff,129275.0
786,8921539506fffff,956985.0
787,8921539507bffff,165496.0
788,89215395083ffff,164400.0
789,892153950cbffff,8686260.0
790,892153950dbffff,174000.0
791,89215395203ffff,33064809.759999998
792,89215395207ffff,113714283.0
793,8921539520bffff,6537944.0
794,8921539520fffff,167151664.0
795,89215395217ffff,1413399.0
796,8921539521bffff,9819619.0
797,89215395223ffff,89982813.0
798,89215395227ffff,109124906.62000053
799,8921539522bffff,6680004.0
800,89215395233ffff,1841635.0
801,89215395237ffff,611170914.5400006
802,8921539523bffff,307149206.99
803,89215395243ffff,177673175.31000015
804,89215395247ffff,766795.0
805,8921539524bffff,242374396.48
806,89215395253ffff,150144749.98000002
807,89215395257ffff,4147841.0
808,8921539525bffff,551413.0
809,89215395263ffff,5106340.0
810,89215395267ffff,453000.0
811,8921539526bffff,14471689.05
812,8921539526fffff,108781178.97
813,89215395273ffff,3307601.0
814,89215395277ffff,250283855.0
815,8921539527bffff,27325022.0
816,89215395283ffff,20500924.91
817,89215395287ffff,48813069.0
818,8921539528bffff,1307816.0
819,8921539528fffff,12864784.0
820,89215395293ffff,31621921.0
821,89215395297ffff,1678000.0
822,8921539529bffff,36625.0
823,892153952afffff,14939705.0
824,892153952bbffff,182000.0
825,892153952c3ffff,11966013.27
826,892153952c7ffff,78000.0
827,892153952cbffff,237672110.0
828,892153952cfffff,103617609.0
829,892153952d3ffff,2058555.0
830,892153952dbffff,9693146.0
831,89215395303ffff,354736412.6700005
832,89215395313ffff,3856696.0
833,89215395317ffff,0.0
834,8921539531bffff,88912804.22999997
835,89215395327ffff,15843422.5
836,8921539532fffff,850204.0
837,89215395337ffff,196329930.0
838,89215395343ffff,1200000.0
839,89215395347ffff,439500.0
840,8921539534fffff,2027460.0
841,89215395357ffff,68367112.0
842,8921539536bffff,1136393.0
843,8921539536fffff,86005705.0
844,89215395373ffff,134633014.94
845,8921539538bffff,10536648.0
846,8921539538fffff,169786739.0
847,89215395393ffff,2698200.0
848,892153953a7ffff,22985963.0
849,892153953abffff,159168984.01999998
850,892153953afffff,3111941.0
851,892153953c3ffff,200788893.0
852,892153953c7ffff,21500.0
853,892153953cbffff,103750593.04
854,892153953cfffff,263763950.2
855,892153953d3ffff,32912374.0
